superordinate
"(325, 326)"
"(228, 229)"
"(154, 156)"
"(24, 26)"
"(98, 99)"
"(670, 671)"
"(391, 392)"
"(95, 96)"
"(924, 926)"
"(41, 43)"
"(51, 57)"
"(391, 394)"
"(1, 10)"
"(70, 1132)"
"(155, 156)"
"(720, 722)"
"(19, 21)"
"(33, 565)"
"(1, 9)"
"(367, 371)"
"(563, 564)"
"(683, 684)"
"(87, 88)"
"(145, 146)"
"(1156, 1158)"
"(269, 270)"
"(24, 25)"
"(1, 7)"
"(519, 520)"
"(95, 97)"
