index,ids_index,ids_name
373,513,ring (for finger)
374,514,bracelet
375,515,necklace
376,516,bead
377,517,earring
378,518,"headband, headdress"
379,520,"handkerchief, rag"
380,521,towel
381,522,comb
382,523,brush
383,525,razor
384,526,ointment
385,527,soap
386,528,mirror
387,529,"dwell, live"
388,530,house
389,531,hut
390,533,tent
391,534,"yard, court"
392,538,room
393,539,"door, gate"
394,541,lock (noun)
395,542,"latch, door-bolt"
396,543,key
397,544,window
398,545,floor
399,546,wall
400,547,fireplace
401,548,stove
402,549,chimney
403,550,ladder
404,551,bed
405,552,pillow
406,553,blanket
407,554,chair
408,555,table
409,556,"lamp, torch"
410,557,candle
411,558,shelf
412,560,roof
413,564,beam
414,565,"post, pole"
415,566,board
416,568,mason
417,569,brick
418,572,farmer
419,573,field (for cultivation)
420,574,garden
421,575,"cultivate, till"
422,576,fence
423,577,ditch
424,578,plow
425,580,dig
426,581,spade
427,582,shovel
428,583,hoe
429,584,fork
430,585,rake
431,586,sow
432,587,seed
433,588,"mow, reap"
434,589,"sickle, scythe"
435,592,"crop, harvest"
436,593,"grain (barley, oats etc)"
437,594,wheat
438,595,barley
439,596,rye
440,597,oats
441,598,"maize, corn"
442,599,rice
443,600,grass
444,601,hay
445,602,plant (noun)
446,603,plant (vb)
447,604,root
448,605,branch
449,606,leaf
450,607,flower
451,608,tree
452,609,oak
453,612,pine
454,614,acorn
455,615,vine
456,616,tobacco
457,617,smoke (tobacco)
458,618,pipe
459,622,bark
460,623,sap
461,631,"tapioca, manioc, cassava"
462,633,"pumpkin, squash"
463,638,mushroom
464,639,"do, make"
465,640,work
466,641,bend
467,642,fold
468,643,"tie, bind"
469,645,chain
470,646,"rope, cord"
471,647,knot (noun)
472,648,"strike (hit, beat)"
473,650,cut
474,652,"chop, hew"
475,653,stab
476,654,knife
477,655,"scissors, shears"
478,656,ax
479,658,break
480,659,broken
481,660,split
482,661,tear
483,662,"flay, skin"
484,663,"rub, wipe"
485,664,stretch
486,665,pull
487,668,press
488,669,"squeeze, wring"
489,670,pour
490,671,wash
491,672,sweep
492,673,broom
493,674,tool
494,675,carpenter
495,676,build
496,679,saw
497,680,hammer
498,681,nail
499,682,glue
500,686,cast (metals)
501,687,gold
502,688,silver
503,689,"copper, bronze"
504,690,iron
505,691,lead (noun)
506,692,"tin, tinplate"
507,694,mold (clay etc)
508,695,clay
509,696,glass
510,697,"weave, plait"
511,698,basket
512,699,mat
513,700,rug
514,702,fan (noun)
515,703,fan (vb)
516,706,statue
517,707,chisel
518,708,paint (noun)
519,709,paint (vb)
520,710,move
521,713,"wind, wrap"
522,714,roll
523,715,drop (vb)
524,716,twist
525,717,rise
526,718,"raise, lift"
527,719,fall
528,720,drip
529,721,throw
530,722,catch (ball)
531,723,shake
532,724,flow
533,725,sink
534,726,float
535,727,swim
536,728,dive
537,729,splash
538,730,sail (vb)
539,731,fly (vb)
540,732,blow
541,733,"creep, crawl"
542,734,kneel
543,736,"slide, slip"
544,737,"jump, leap"
545,738,kick
546,739,dance
547,740,walk
548,741,limp
549,742,run
550,743,go
551,745,climb
552,748,come
553,750,"go away, depart"
554,751,disappear
555,752,flee
556,753,follow
557,755,"reach, arrive"
558,757,enter
559,758,carry (bear)
560,763,bring
561,764,send
562,765,lead (vb)
563,766,drive
564,767,ride
565,768,"push, shove"
566,769,road
567,770,path
568,771,bridge
569,772,"carriage, wagon, cart"
570,773,wheel
571,775,yoke
572,776,ship
573,777,boat
574,778,canoe
575,780,raft
576,781,oar
577,782,paddle (noun)
578,783,row (vb)
579,786,sail (noun)
580,787,anchor
581,788,"harbor, port"
582,789,land (vb)
583,790,have
584,791,"own, possess"
585,792,take
586,793,"seize, grasp"
587,794,hold
588,795,"get, obtain"
589,796,"keep, retain"
590,797,thing
591,798,give
592,801,"save, rescue"
593,802,destroy
594,803,"harm, injure, damage"
595,804,"seek, look for"
596,805,find
597,806,lose
598,807,"release, let go"
599,808,money
600,809,coin
601,810,rich
602,811,poor
603,812,beggar
604,813,"avaricious, stingy"
605,814,lend
606,815,borrow
607,816,owe
608,817,debt
609,818,pay (vb)
610,819,"account, reckoning"
611,820,"tax, tribute"
612,823,earn
613,824,buy
614,825,sell
615,826,"trade, barter"
616,828,market (place)
617,829,"store, shop"
618,830,price
619,832,cheap
620,833,share (distribute)
621,834,weigh
622,835,after
623,836,behind
624,838,"down, below"
625,839,before
626,840,front
627,841,"inside, in"
628,842,outside
629,843,under
630,844,"up, above"
631,845,place
632,846,put
633,847,sit
634,849,stand
635,850,"remain, stay"
636,852,"collect, gather"
637,855,"join, unite"
638,856,separate
639,857,divide
640,858,open
641,859,"shut, close"
642,860,cover
643,861,"hide, conceal"
644,862,high
645,863,low
646,864,top
647,865,bottom
648,866,end
649,868,edge
650,869,side
651,870,"middle, center"
652,871,right (side)
653,872,left (side)
654,873,near (adv)
655,874,far (adv)
656,875,east
657,876,west
658,877,north
659,878,south
660,879,grow
661,880,measure
662,881,"span, fathom"
663,882,"large, big"
664,883,"small, little"
665,884,long
666,885,tall
667,886,short
668,887,"wide, broad"
669,888,narrow
670,889,thick (in dimension)
671,890,thin (in dimension)
672,891,deep
673,892,shallow
674,893,flat
675,894,straight
676,895,crooked
677,896,hook
678,897,corner
679,898,cross
680,899,square
681,900,round
682,901,circle
683,902,"sphere, ball"
684,903,line
685,904,hole
686,905,"like, similar"
687,906,change
688,907,"zero, nothing"
689,908,one
690,909,two
691,910,three
692,911,four
